PLAYER NAME             KILLS   DEATHS     KDR   PLAYED WITH CHAMPION(S)
DevilJackieL               20        1    20.00   Riven
doskebes                   19        1    19.00   Malzahar
Z0mbieJuice                18        0    18.00   Riven
LOOKOUTURBACK              18        1    18.00   Orianna
MrKil1er                   17        1    17.00   XinZhao
Shirobomb                  17        1    17.00   Shyvana
XXSNACKBARXX               17        1    17.00   Fizz
Deadblight                 16        1    16.00   Jinx
DragonsVoid                16        1    16.00   Pantheon
N4styyy                    16        1    16.00   Riven
walef                      16        1    16.00   Kalista
CreationZ                  15        0    15.00   Vayne
Imahoppy                   15        0    15.00   Sivir
dianasmo                   15        0    15.00   Wukong
eonblue42                  15        0    15.00   Katarina
DeanMaryBOY                15        1    15.00   Caitlyn
DeathByCharm               15        1    15.00   Ahri
QLZS                       15        1    15.00   Katarina
Santanello                 15        1    15.00   Nidalee
lescamikan                 15        1    15.00   Riven
1anadelrey                 14        0    14.00   Jinx
GreenMango670              14        0    14.00   Varus
TheStore                   14        0    14.00   Sion
YamabushiV2                14        0    14.00   Hecarim
ArthurAlbion               14        1    14.00   Ashe
FDBJINXMAS                 14        1    14.00   Lucian
Sephero                    14        1    14.00   Garen
goatrideonox               14        1    14.00   Ezreal
Simber                     13        0    13.00   Graves
Zer0Paradox                13        0    13.00   Skarner
DeathIsUponYou             13        1    13.00   Ashe
MinBBo                     13        1    13.00   Volibear
MrTrIgGeR                  13        1    13.00   Draven
N3GAT1VEZ3R0               13        1    13.00   Volibear
Possiblebadkid             13        1    13.00   Swain
Yumina                     13        1    13.00   Varus
will5                      13        1    13.00   Fizz
xXjayrobesXx               13        1    13.00   Lucian
ifucdurbich                24        2    12.00   Fiora
840overtwo                 12        0    12.00   Rumble
Manpeach                   12        0    12.00   Karma
QIIQ                       12        0    12.00   Corki
SlipperyStephano           12        0    12.00   Aatrox
killishot                  12        0    12.00   Amumu
BeNiRR                     12        1    12.00   Morgana
Icedword                   12        1    12.00   Cho'Gath
JungObba                   12        1    12.00   Graves
Suddenpain                 12        1    12.00   Akali
TehCowboyKing              12        1    12.00   Ashe
Wallofhate                 12        1    12.00   Hecarim
hoanghai549                12        1    12.00   Ashe
nora123                    12        1    12.00   XinZhao
Hrak                       11        0    11.00   Fiddlesticks
MrBlacky                   11        0    11.00   Volibear
MxDaiYuuu                  11        0    11.00   LeBlanc
OsmarLeytte                11        0    11.00   Amumu
TacoSupreme44              11        0    11.00   Teemo
YorkUnversity              11        0    11.00   Irelia
taigaRAWRR                 11        0    11.00   Cassiopeia
Astroheat                  11        1    11.00   Tristana
CHAOXD                     11        1    11.00   Zed
DrunkenJediMastr           11        1    11.00   Jinx
HanSo1oQueue               11        1    11.00   Riven
J3TYI                      11        1    11.00   MasterYi
KabJakBrother              11        1    11.00   Graves
Lyfur                      11        1    11.00   Diana
PHubPlaya                  11        1    11.00   Hecarim
PreposterousOne            11        1    11.00   Jinx
JoshMcmuffin               20        2    10.00   Vayne
Pushmid                    20        2    10.00   Kalista
Scopis                     20        2    10.00   Annie
XiaoWeiXlao                20        2    10.00   Akali
nguoiden                   20        2    10.00   Fizz
AfricanBunnies             10        0    10.00   Vayne
Damondas                   10        0    10.00   Garen
Domo                       10        0    10.00   Graves
DrunkOrange                10        0    10.00   Corki
JohnnyDramas               10        0    10.00   Cho'Gath
Mastondonte                10        0    10.00   Swain
TheSharkNinja              10        0    10.00   Ezreal
Xiaoxinxin                 10        0    10.00   Annie
shanemowgli                10        0    10.00   Orianna
Borramir                   10        1    10.00   MasterYi
Heavysteal                 10        1    10.00   Annie
IntSpec                    10        1    10.00   Pantheon
Jimimy                     10        1    10.00   Vayne
KORKezon                   10        1    10.00   LeeSin
KingCati                   10        1    10.00   Annie
MaGauch                    10        1    10.00   LeBlanc
MisterBerzerker            10        1    10.00   Fizz
MonteCristoNA              10        1    10.00   Malphite
Omniknightt                10        1    10.00   Amumu
Pudinhead                  10        1    10.00   Brand
SgunguN                    10        1    10.00   LeBlanc
TheOneBlank                10        1    10.00   Renekton
TheUltimatePain            10        1    10.00   Renekton
XShroomeRX                 10        1    10.00   Udyr
al0908                     10        1    10.00   Hecarim
finetear                   10        1    10.00   Xerath
fkwitme                    10        1    10.00   Amumu
gankedbysyd                10        1    10.00   Brand
maobert                    10        1    10.00   Graves
newbility                  10        1    10.00   Tristana
schizoTechie               10        1    10.00   Jinx
vainGT                     10        1    10.00   LeBlanc
IJungleI                   18        2    9.00   Yasuo
lTheViperl                 18        2    9.00   Volibear
360YYnoScopeQSgg            9        0    9.00   Dr.Mundo
Brichu                      9        0    9.00   Nocturne
FatalPhilosopher            9        0    9.00   Brand
Follout                     9        0    9.00   Hecarim
LetterGrade                 9        0    9.00   Vladimir
Maxmoney                    9        0    9.00   MasterYi
RuneSounds                  9        0    9.00   Akali
ZHENGLONG                   9        0    9.00   LeeSin
eliwhat                     9        0    9.00   Ezreal
Anemall                     9        1    9.00   LeBlanc
ArodMontana                 9        1    9.00   Karthus
DevinSoBreezy               9        1    9.00   Sivir
FARedeye                    9        1    9.00   Fizz
Faps                        9        1    9.00   Tryndamere
GangnamOppa                 9        1    9.00   Nidalee
Jeybek                      9        1    9.00   Cho'Gath
Jun41                       9        1    9.00   Graves
MissTrigger                 9        1    9.00   MasterYi
MoldyFapStain               9        1    9.00   Malphite
OiIy                        9        1    9.00   Nasus
Professionactor             9        1    9.00   Annie
S4LAMAZINGEXIA              9        1    9.00   Draven
Saerios                     9        1    9.00   Malphite
SuspectZro                  9        1    9.00   Vel'Koz
Tam                         9        1    9.00   Pantheon
TeemuPukki                  9        1    9.00   Draven
TheAHJ                      9        1    9.00   Udyr
VashTheStampede1            9        1    9.00   Leona
VintageStyles               9        1    9.00   Mordekaiser
Xavithras                   9        1    9.00   Morgana
ccoo1                       9        1    9.00   Diana
iAMVega                     9        1    9.00   Graves
jleeddr                     9        1    9.00   Blitzcrank
leftys                      9        1    9.00   Zed
Finessin                   26        3    8.67   LeeSin
ADC666666666666            17        2    8.50   Vi
BigLipHoney                17        2    8.50   Riven
DarkChildAnnie             17        2    8.50   Annie
Dooboosoda                 17        2    8.50   Jayce
Lunar6Tracker              17        2    8.50   Vi
RisingPandaz               17        2    8.50   Fizz
xRawFish                   17        2    8.50   Diana
OMGShaka1aca               16        2    8.00   Graves
Ookide                     16        2    8.00   Sivir
Warhead                    16        2    8.00   Vel'Koz
Yurazzing                  16        2    8.00   Caitlyn
4lbion                      8        0    8.00   Rumble
BenPlastic                  8        0    8.00   Sivir
CaptainReynolds             8        0    8.00   Anivia
ChinaSexyTeddy              8        0    8.00   Cho'Gath
Colin3                      8        0    8.00   Xerath
Freezer77                   8        0    8.00   Cho'Gath
HumanBeing                  8        0    8.00   Rumble
LatinaBooty                 8        0    8.00   LeeSin
Selysium                    8        0    8.00   Heimerdinger
Spearsfordays               8        0    8.00   Kalista
YumDoritos                  8        0    8.00   Tryndamere
kguest1                     8        0    8.00   Sivir
khan23                      8        0    8.00   Singed
unkotintinmaru              8        0    8.00   LeeSin
vienbest                    8        0    8.00   Nocturne
1onelySoul                  8        1    8.00   Caitlyn
2k5o1f3q9x46y70c            8        1    8.00   Volibear
Achangchang                 8        1    8.00   JarvanIV
