CHAMPION NAME         WINS   LOSSES    WIN%   MINION DEATHS
Sivir                    4        0    1.00               0
Ahri                     3        0    1.00               0
Jax                      2        0    1.00               0
Maokai                   2        0    1.00               0
Fiddlesticks             1        0    1.00               0
Jinx                     1        0    1.00               0
Karma                    1        0    1.00               0
LeeSin                   1        0    1.00               0
Lucian                   1        0    1.00               0
Lulu                     1        0    1.00               0
Malphite                 1        0    1.00               0
Orianna                  1        0    1.00               0
Pantheon                 1        0    1.00               0
Rengar                   1        0    1.00               0
Ryze                     1        0    1.00               0
Tryndamere               1        0    1.00               0
Yasuo                    1        0    1.00               0
Zyra                     1        0    1.00               1
Janna                    3        1    0.75               0
Volibear                 3        1    0.75               0
Amumu                    2        1    0.67               0
Annie                    2        1    0.67               0
Blitzcrank               2        1    0.67               0
Thresh                   2        1    0.67               0
Riven                    2        2    0.50               0
Caitlyn                  1        1    0.50               0
Ezreal                   1        1    0.50               0
Graves                   1        1    0.50               0
Lissandra                1        1    0.50               0
Nidalee                  1        1    0.50               0
Sejuani                  1        1    0.50               0
Zac                      1        1    0.50               0
Zed                      1        1    0.50               0
Vayne                    1        4    0.20               0
Aatrox                   0        1    0.00               0
Corki                    0        1    0.00               0
Draven                   0        1    0.00               0
Evelynn                  0        1    0.00               1
Fiora                    0        1    0.00               0
Garen                    0        1    0.00               0
Gragas                   0        1    0.00               0
Heimerdinger             0        1    0.00               0
Irelia                   0        1    0.00               0
Katarina                 0        1    0.00               0
Leona                    0        1    0.00               0
Malzahar                 0        1    0.00               0
MasterYi                 0        1    0.00               0
MissFortune              0        1    0.00               0
Nasus                    0        1    0.00               0
Nautilus                 0        1    0.00               0
Sion                     0        1    0.00               1
Vi                       0        1    0.00               0
Ziggs                    0        1    0.00               0
Nami                     0        2    0.00               0
XinZhao                  0        2    0.00               0
Morgana                  0        3    0.00               0
LeBlanc                  0        4    0.00               0
